Time;Open;High;Low;Close
2026/01/06 09:30;1.17147;1.17153;1.17132;1.17132
2026/01/06 09:30;1.17132;1.17132;1.17117;1.17125
2026/01/06 09:31;1.17124;1.17133;1.17124;1.17127
2026/01/06 09:31;1.17129;1.17132;1.17116;1.17117
2026/01/06 09:32;1.17117;1.17117;1.17098;1.17099
2026/01/06 09:32;1.17099;1.17113;1.17097;1.17108
2026/01/06 09:33;1.17106;1.17112;1.17104;1.17112
2026/01/06 09:33;1.17112;1.17137;1.17112;1.17132
2026/01/06 09:34;1.1713;1.17153;1.1713;1.17151
2026/01/06 09:34;1.17153;1.17156;1.1714;1.17147
2026/01/06 09:35;1.17146;1.17147;1.17131;1.17141
2026/01/06 09:35;1.17143;1.17151;1.17141;1.17147
2026/01/06 09:36;1.17148;1.17148;1.1714;1.17141
2026/01/06 09:36;1.17141;1.17141;1.17121;1.17123
2026/01/06 09:37;1.17121;1.17121;1.17111;1.17116
2026/01/06 09:37;1.17117;1.1712;1.17108;1.17108
2026/01/06 09:38;1.1711;1.17116;1.17102;1.17104
2026/01/06 09:38;1.17103;1.17103;1.17086;1.17088
2026/01/06 09:39;1.1709;1.17101;1.17082;1.17098
2026/01/06 09:39;1.17096;1.17122;1.17096;1.17119
2026/01/06 09:40;1.17117;1.17135;1.17116;1.17131
2026/01/06 09:40;1.1713;1.17137;1.17127;1.17135
2026/01/06 09:41;1.17133;1.17152;1.17133;1.17146
2026/01/06 09:41;1.17145;1.17149;1.17132;1.17149
2026/01/06 09:42;1.1715;1.17159;1.17148;1.17159
2026/01/06 09:42;1.17157;1.17161;1.17149;1.1715
2026/01/06 09:43;1.1715;1.17157;1.17139;1.1715
2026/01/06 09:43;1.1715;1.17153;1.17132;1.17143
2026/01/06 09:44;1.17142;1.17145;1.17139;1.17145
2026/01/06 09:44;1.17147;1.1715;1.17133;1.17135
2026/01/06 09:45;1.1714;1.17145;1.17135;1.17145
2026/01/06 09:45;1.17146;1.17146;1.17133;1.17133
2026/01/06 09:46;1.17132;1.17133;1.17127;1.17128
2026/01/06 09:46;1.17131;1.17133;1.17121;1.17131
2026/01/06 09:47;1.17132;1.17144;1.17132;1.17143
2026/01/06 09:47;1.17143;1.17149;1.17137;1.17137
2026/01/06 09:48;1.17137;1.17147;1.17137;1.17141
2026/01/06 09:48;1.1714;1.17153;1.17139;1.17143
2026/01/06 09:49;1.17144;1.17151;1.17142;1.17148
2026/01/06 09:49;1.17148;1.17159;1.17147;1.17159
2026/01/06 09:50;1.17158;1.17168;1.17157;1.17168
2026/01/06 09:50;1.17171;1.17171;1.17149;1.17159
2026/01/06 09:51;1.1716;1.17166;1.17145;1.17145
2026/01/06 09:51;1.17146;1.17146;1.17136;1.17142
2026/01/06 09:52;1.17141;1.17141;1.1712;1.17129
2026/01/06 09:52;1.17129;1.17142;1.17124;1.17124
2026/01/06 09:53;1.17124;1.17132;1.17121;1.17122
2026/01/06 09:53;1.17121;1.17132;1.17121;1.17132
2026/01/06 09:54;1.17135;1.17143;1.17124;1.17124
2026/01/06 09:54;1.17122;1.17124;1.1712;1.17124
2026/01/06 09:55;1.17124;1.17136;1.17116;1.17136
2026/01/06 09:55;1.17135;1.17143;1.17132;1.17132
2026/01/06 09:56;1.17132;1.17136;1.17131;1.17133
2026/01/06 09:56;1.17134;1.17138;1.17134;1.17135
2026/01/06 09:57;1.17136;1.17136;1.17116;1.17116
2026/01/06 09:57;1.17118;1.17122;1.1711;1.17122
2026/01/06 09:58;1.17122;1.17124;1.17118;1.17122
2026/01/06 09:58;1.17124;1.17127;1.17122;1.17125
2026/01/06 09:59;1.17124;1.17124;1.17115;1.17121
2026/01/06 09:59;1.1712;1.17123;1.17117;1.17119
2026/01/06 10:00;1.17121;1.17129;1.17119;1.17126
2026/01/06 10:00;1.17126;1.17126;1.17102;1.17103
