Name,Symbol,Date,Time (+2:00 GMT),Impact,Link,id,,,
Unemployment Rate,EUR,2026/06/01,9:00am,Low,https://www.forexfactory.com/calendar/59-ez-unemployment-rate,bdcf53ef-773a-4f6c-85aa-628ce672c379,,,
Manufacturing PMI,CAD,2026/06/01,1:30pm,Low,https://www.forexfactory.com/calendar/629-ca-manufacturing-pmi,435ebf08-07bb-4745-b324-3e8cdc2b4fa6,,,
Final Manufacturing PMI,USD,2026/06/01,1:45pm,Low,https://www.forexfactory.com/calendar/553-us-final-manufacturing-pmi,1c17328a-5eaf-4b48-be66-b5a595a69393,,,
ISM Manufacturing PMI,USD,2026/06/01,2:00pm,High,https://www.forexfactory.com/calendar/252-us-ism-manufacturing-pmi,49de92a9-2994-40cb-9852-0e0c7e8bf7d7,,,
ISM Manufacturing Prices,USD,2026/06/01,2:00pm,Medium,https://www.forexfactory.com/calendar/255-us-ism-manufacturing-prices,28319e00-8dcd-4608-8dde-65e174f4dd38,,,
Construction Spending m/m,USD,2026/06/01,2:00pm,Low,https://www.forexfactory.com/calendar/205-us-construction-spending-mm,4fa5fa3a-6310-473d-82ee-ba5bb9b6fb2f,,,
Gov Council Member Rogers Speaks,CAD,2026/06/01,4:00pm,Low,https://www.forexfactory.com/calendar/847-ca-gov-council-member-rogers-speaks,4cc91bf9-7642-4237-a65e-c6a6b94ef7cf,,,
Monetary Base y/y,JPY,2026/06/01,11:50pm,Low,https://www.forexfactory.com/calendar/377-jn-monetary-base-yy,f4febd87-22da-44fa-8479-f073c451d9d4,,,
Building Approvals m/m,AUD,2026/06/02,1:30am,Low,https://www.forexfactory.com/calendar/202-au-building-approvals-mm,1da55522-dce9-421a-b485-e6def5d01b50,,,
Company Operating Profits q/q,AUD,2026/06/02,1:30am,Low,https://www.forexfactory.com/calendar/380-au-company-operating-profits-qq,f2e5825f-0af1-47c3-adec-9bfaab08e007,,,
Current Account,AUD,2026/06/02,1:30am,Low,https://www.forexfactory.com/calendar/216-au-current-account,43e6ee46-4cc2-4dc9-b478-9ac42cfb2a69,,,
10-y Bond Auction,JPY,2026/06/02,3:35am,Low,https://www.forexfactory.com/calendar/574-jn-10-y-bond-auction,2fef60d3-400d-451d-b3c7-d8e0bf546580,,,
FOMC Member Kashkari Speaks,USD,2026/06/02,5:50am,Low,https://www.forexfactory.com/calendar/651-us-fomc-member-kashkari-speaks,29b63549-e0a0-47f2-98b4-dcc29e26d8e9,,,
Italian Bank Holiday,EUR,2026/06/02,6:03am,Holiday,https://www.forexfactory.com/calendar/397-it-bank-holiday,417c731f-d725-47f9-94e6-305963860852,,,
French Gov Budget Balance,EUR,2026/06/02,6:45am,Low,https://www.forexfactory.com/calendar/378-fr-gov-budget-balance,2fab831d-3f9e-40a6-a309-af09123c5358,,,
Spanish Unemployment Change,EUR,2026/06/02,7:00am,Low,https://www.forexfactory.com/calendar/561-sp-unemployment-change,7547324e-b0a5-4b87-8820-f625bec6b4da,,,
M4 Money Supply m/m,GBP,2026/06/02,8:30am,Low,https://www.forexfactory.com/calendar/348-uk-m4-money-supply-mm,4e4533d9-8334-4f56-805d-b5960ec0db9e,,,
Mortgage Approvals,GBP,2026/06/02,8:30am,Low,https://www.forexfactory.com/calendar/287-uk-mortgage-approvals,3547ed02-5723-406a-ae46-8df23b3754f3,,,
Net Lending to Individuals m/m,GBP,2026/06/02,8:30am,Low,https://www.forexfactory.com/calendar/343-uk-net-lending-to-individuals-mm,32af5fc7-3ec6-4b3c-88a9-30eb9c632a0b,,,
Core CPI Flash Estimate y/y,EUR,2026/06/02,9:00am,Medium,https://www.forexfactory.com/calendar/593-ez-core-cpi-flash-estimate-yy,9bff738a-e389-4c2c-9f4a-a7e18151550d,,,
CPI Flash Estimate y/y,EUR,2026/06/02,9:00am,Medium,https://www.forexfactory.com/calendar/168-ez-cpi-flash-estimate-yy,861b6461-aba0-46b3-a17c-248e182def26,,,
10-y Bond Auction,GBP,2026/06/02,9:00am,Low,https://www.forexfactory.com/calendar/526-uk-10-y-bond-auction,97690583-5574-41d9-a40d-6bf4873fee39,,,
FOMC Member Hammack Speaks,USD,2026/06/02,12:30pm,Low,https://www.forexfactory.com/calendar/913-us-fomc-member-hammack-speaks,63c8cba7-0db4-4f46-8ebf-7b918549ca68,,,
BOE Gov Bailey Speaks,GBP,2026/06/02,2:00pm,High,https://www.forexfactory.com/calendar/838-uk-boe-gov-bailey-speaks,b5d8e700-45c1-4e77-a4ca-d1ed8c833795,,,
JOLTS Job Openings,USD,2026/06/02,2:00pm,Medium,https://www.forexfactory.com/calendar/578-us-jolts-job-openings,0b60f21f-680f-4b20-b250-dbd5cb4152f1,,,
RCM/TIPP Economic Optimism,USD,2026/06/02,2:02pm,Low,https://www.forexfactory.com/calendar/237-us-rcmtipp-economic-optimism,651e1477-39ac-4d70-a7db-14c24ca7fc51,,,
Omdia Total Vehicle Sales,USD,2026/06/02,2:15pm,Low,https://www.forexfactory.com/calendar/828-us-omdia-total-vehicle-sales,42b40eb1-580d-4b18-aac1-7b989744f395,,,
MPC Member Greene Speaks,GBP,2026/06/02,3:00pm,Low,https://www.forexfactory.com/calendar/894-uk-mpc-member-greene-speaks,5b368630-4a9c-4ffa-84c0-b356b09b3f55,,,
GDT Price Index,NZD,2026/06/02,3:05pm,Low,https://www.forexfactory.com/calendar/602-nz-gdt-price-index,ed81dfe6-dee0-4fdf-8ca1-7817fc865c1b,,,
API Weekly Statistical Bulletin,USD,2026/06/02,8:30pm,Low,https://www.forexfactory.com/calendar/754-us-api-weekly-statistical-bulletin,7d1b47d3-130e-4f1f-be08-c988e46eba17,,,
Building Consents m/m,NZD,2026/06/02,10:45pm,Low,https://www.forexfactory.com/calendar/229-nz-building-consents-mm,98ff4981-2fcf-4427-bb3a-8b75a6b5d8bd,,,
Overseas Trade Index q/q,NZD,2026/06/02,10:45pm,Low,https://www.forexfactory.com/calendar/158-nz-overseas-trade-index-qq,63259850-630b-44f6-b218-3b0db823531b,,,
GDP q/q,AUD,2026/06/03,1:30am,High,https://www.forexfactory.com/calendar/31-au-gdp-qq,d76b9c03-f6b6-4c2e-a84c-0bd710c4394f,,,
RatingDog Services PMI,CNY,2026/06/03,1:45am,Low,https://www.forexfactory.com/calendar/591-ch-ratingdog-services-pmi,1f2baeed-432a-4e94-aad8-fbb46a5d3749,,,
FOMC Member Goolsbee Speaks,USD,2026/06/03,3:00am,Low,https://www.forexfactory.com/calendar/889-us-fomc-member-goolsbee-speaks,b27c3278-b0d5-4605-8113-b815e8fb2a6f,,,
Private Sector Credit m/m,AUD,2026/06/03,6:19am,Low,https://www.forexfactory.com/calendar/344-au-private-sector-credit-mm,8806fb45-961b-4b8a-a9c2-d5e46c3afc05,,,
Spanish Services PMI,EUR,2026/06/03,7:15am,Low,https://www.forexfactory.com/calendar/558-sp-services-pmi,35bf7b3a-f5c9-4da7-bca3-cdd3053c53e2,,,
Italian Services PMI,EUR,2026/06/03,7:45am,Low,https://www.forexfactory.com/calendar/548-it-services-pmi,eba6fc2d-a6be-4aa4-a077-f3733e3a3a08,,,
French Final Services PMI,EUR,2026/06/03,7:50am,Low,https://www.forexfactory.com/calendar/619-fr-final-services-pmi,88522b4c-e09b-4fec-b6d7-17228892fd96,,,
German Final Services PMI,EUR,2026/06/03,7:55am,Low,https://www.forexfactory.com/calendar/620-ge-final-services-pmi,4d4b43af-6f6a-4156-9b82-cec50f5c13f9,,,
Final Services PMI,EUR,2026/06/03,8:00am,Low,https://www.forexfactory.com/calendar/265-ez-final-services-pmi,d0f3a041-460e-42f7-a300-dcefe63d86e6,,,
Final Services PMI,GBP,2026/06/03,8:30am,Low,https://www.forexfactory.com/calendar/250-uk-final-services-pmi,03a5a95c-921b-4a32-85f1-3c83666756ac,,,
BOJ Gov Ueda Speaks,JPY,2026/06/03,8:30am,High,https://www.forexfactory.com/calendar/892-jn-boj-gov-ueda-speaks,735a896b-92be-45e9-a5ab-9cf0116039dd,,,
PPI m/m,EUR,2026/06/03,9:00am,Low,https://www.forexfactory.com/calendar/89-ez-ppi-mm,bcae5736-946c-4779-817f-ba5741e5397b,,,
ADP Non-Farm Employment Change,USD,2026/06/03,12:15pm,High,https://www.forexfactory.com/calendar/75-us-adp-non-farm-employment-change,3967f501-05ba-46ed-892e-0d86c2470364,,,
Labor Productivity q/q,CAD,2026/06/03,12:30pm,Low,https://www.forexfactory.com/calendar/157-ca-labor-productivity-qq,37c5703e-7c6c-4727-8bf9-b051be6141fb,,,
FOMC Member Barr Speaks,USD,2026/06/03,1:00pm,Low,https://www.forexfactory.com/calendar/880-us-fomc-member-barr-speaks,4ec0cbfd-8a1c-4be7-b5d8-1ed1c4428ee2,,,
Final Services PMI,USD,2026/06/03,1:45pm,Low,https://www.forexfactory.com/calendar/584-us-final-services-pmi,d3f89c16-4aa5-45cd-a18f-c805de6f0b41,,,
ISM Services PMI,USD,2026/06/03,2:00pm,High,https://www.forexfactory.com/calendar/253-us-ism-services-pmi,0e747bac-4793-474b-a8c3-02c10425c518,,,
Treasury Sec Bessent Speaks,USD,2026/06/03,2:00pm,Medium,https://www.forexfactory.com/calendar/917-us-treasury-sec-bessent-speaks,95e5eb90-3c92-4e3a-b6a1-fa08dd7e6eb4,,,
Factory Orders m/m,USD,2026/06/03,2:00pm,Low,https://www.forexfactory.com/calendar/351-us-factory-orders-mm,2e080bdd-664d-4b60-ab3f-7b3a3cf491fd,,,
Crude Oil Inventories,USD,2026/06/03,2:30pm,Low,https://www.forexfactory.com/calendar/10-us-crude-oil-inventories,62ef50f8-c3fa-4a96-9a96-073ba8ac2273,,,
Beige Book,USD,2026/06/03,6:00pm,Low,https://www.forexfactory.com/calendar/241-us-beige-book,1451866e-abc0-47fd-b526-e9b99506dbd4,,,
FOMC Member Logan Speaks,USD,2026/06/03,8:00pm,Low,https://www.forexfactory.com/calendar/890-us-fomc-member-logan-speaks,23836eaa-f808-471e-8ecd-f01093c82fd2,,,
ANZ Commodity Prices m/m,NZD,2026/06/04,1:00am,Low,https://www.forexfactory.com/calendar/190-nz-anz-commodity-prices-mm,ded8d6b9-2d6c-4282-886d-368695575a1e,,,
Goods Trade Balance,AUD,2026/06/04,1:30am,Low,https://www.forexfactory.com/calendar/122-au-goods-trade-balance,9ab87ffc-a9f7-4e37-8107-395d07200980,,,
RBA Gov Bullock Speaks,AUD,2026/06/04,5:00am,High,https://www.forexfactory.com/calendar/671-au-rba-gov-bullock-speaks,dfc542b8-5fff-4f9e-94d5-ee3735b6d4be,,,
CPI m/m,CHF,2026/06/04,6:30am,Medium,https://www.forexfactory.com/calendar/100-sz-cpi-mm,ee497bdd-e63c-4994-9acc-f27e9077f665,,,
Unemployment Rate,CHF,2026/06/04,7:00am,Low,https://www.forexfactory.com/calendar/62-sz-unemployment-rate,a66cd024-8d0c-4cf1-bfab-b887ea2b0c91,,,
ECB President Lagarde Speaks,EUR,2026/06/04,8:00am,Medium,https://www.forexfactory.com/calendar/832-ez-ecb-president-lagarde-speaks,25a4af51-d7ba-460b-a9f6-7ab88824b697,,,
Construction PMI,GBP,2026/06/04,8:30am,Low,https://www.forexfactory.com/calendar/251-uk-construction-pmi,1abbfcde-4de5-447a-b845-28a7b56664f1,,,
French 10-y Bond Auction,EUR,2026/06/04,8:50am,Low,https://www.forexfactory.com/calendar/523-fr-10-y-bond-auction,216dbbd1-6bac-41d7-a768-c8f9b470ed85,,,
Retail Sales m/m,EUR,2026/06/04,9:00am,Low,https://www.forexfactory.com/calendar/106-ez-retail-sales-mm,9b972517-540f-4038-8ea9-8232558560ae,,,
Challenger Job Cuts y/y,USD,2026/06/04,9:30am,Low,https://www.forexfactory.com/calendar/76-us-challenger-job-cuts-yy,176d8a60-4e56-418a-9f83-4cd9a9bf9a40,,,
Unemployment Claims,USD,2026/06/04,12:30pm,Medium,https://www.forexfactory.com/calendar/11-us-unemployment-claims,51a99c01-e654-48e1-94f3-4b473f02c092,,,
FOMC Member Barkin Speaks,USD,2026/06/04,12:30pm,Low,https://www.forexfactory.com/calendar/728-us-fomc-member-barkin-speaks,c2101e7d-9ea5-499a-b54d-4342b415d821,,,
Revised Nonfarm Productivity q/q,USD,2026/06/04,12:30pm,Low,https://www.forexfactory.com/calendar/156-us-revised-nonfarm-productivity-qq,20148427-aad6-4d6b-8a29-6cc4a3c92eb6,,,
Revised Unit Labor Costs q/q,USD,2026/06/04,12:30pm,Low,https://www.forexfactory.com/calendar/178-us-revised-unit-labor-costs-qq,05620b89-3d25-457d-b116-8e7ec747394f,,,
Treasury Sec Bessent Speaks,USD,2026/06/04,2:00pm,Medium,https://www.forexfactory.com/calendar/917-us-treasury-sec-bessent-speaks,3ed47cb8-df2d-48c9-a42d-4ce9c1b42746,,,
FOMC Member Bowman Speaks,USD,2026/06/04,2:00pm,Low,https://www.forexfactory.com/calendar/812-us-fomc-member-bowman-speaks,8f5c3f7f-4a37-4570-bf1e-ac779074fa45,,,
Natural Gas Storage,USD,2026/06/04,2:30pm,Low,https://www.forexfactory.com/calendar/26-us-natural-gas-storage,00ffeb41-4373-4426-9883-3b139a3465ef,,,
BOE Gov Bailey Speaks,GBP,2026/06/04,3:40pm,High,https://www.forexfactory.com/calendar/838-uk-boe-gov-bailey-speaks,1e1724c0-d7c8-48a4-8e4a-6881a395360b,,,
FOMC Member Daly Speaks,USD,2026/06/04,3:40pm,Low,https://www.forexfactory.com/calendar/807-us-fomc-member-daly-speaks,b295d185-42b5-4c1b-8778-0e2a7cd64e2b,,,
FOMC Member Schmid Speaks,USD,2026/06/04,5:00pm,Low,https://www.forexfactory.com/calendar/912-us-fomc-member-schmid-speaks,c87060bb-f05b-49cf-9bef-a44a383bbc28,,,
FOMC Member Daly Speaks,USD,2026/06/04,5:10pm,Low,https://www.forexfactory.com/calendar/807-us-fomc-member-daly-speaks,9049baff-2944-407a-8f93-23b19876ab50,,,
President Trump Speaks,USD,2026/06/04,7:00pm,Medium,https://www.forexfactory.com/calendar/645-us-president-trump-speaks,83fa2008-3afb-44f5-906d-c45a12d50db9,,,
Average Cash Earnings y/y,JPY,2026/06/04,11:30pm,Low,https://www.forexfactory.com/calendar/181-jn-average-cash-earnings-yy,841a1005-8f06-4174-a547-75f30629c51a,,,
Household Spending y/y,JPY,2026/06/04,11:30pm,Low,https://www.forexfactory.com/calendar/359-jn-household-spending-yy,c157fb1a-fdf3-4417-b0e7-97d60cb4f42a,,,
RBA Deputy Gov Hauser Speaks,AUD,2026/06/05,4:35am,Low,https://www.forexfactory.com/calendar/904-au-rba-deputy-gov-hauser-speaks,6f966180-e5ea-450a-8586-08ec014bf6d7,,,
Leading Indicators,JPY,2026/06/05,5:00am,Low,https://www.forexfactory.com/calendar/145-jn-leading-indicators,2a81baab-1bb7-4640-820a-a7b9ee332aaf,,,
Halifax HPI m/m,GBP,2026/06/05,6:00am,Low,https://www.forexfactory.com/calendar/151-uk-halifax-hpi-mm,ef9583d0-aec4-4893-8a04-6ef88a830746,,,
French Industrial Production m/m,EUR,2026/06/05,6:45am,Low,https://www.forexfactory.com/calendar/222-fr-industrial-production-mm,7b80fd06-1ec1-489d-a41f-8dd20e9654e5,,,
French Trade Balance,EUR,2026/06/05,6:45am,Low,https://www.forexfactory.com/calendar/126-fr-trade-balance,7060b6cd-5dc9-4975-80ef-d48562292117,,,
Foreign Currency Reserves,CHF,2026/06/05,7:00am,Low,https://www.forexfactory.com/calendar/517-sz-foreign-currency-reserves,bdbda115-a2da-4c46-8773-6a379e5c56e5,,,
Final Employment Change q/q,EUR,2026/06/05,9:00am,Low,https://www.forexfactory.com/calendar/69-ez-final-employment-change-qq,7c8df06b-84b5-4e01-b3e5-e0de9b926fdc,,,
Italian Retail Sales m/m,EUR,2026/06/05,9:00am,Low,https://www.forexfactory.com/calendar/108-it-retail-sales-mm,a34baba7-11a5-4a5f-8cc0-3ea60f0c2988,,,
Revised GDP q/q,EUR,2026/06/05,9:00am,Low,https://www.forexfactory.com/calendar/42-ez-revised-gdp-qq,1e2329b5-cc3a-423a-97f4-3a75350b442d,,,
Employment Change,CAD,2026/06/05,12:30pm,High,https://www.forexfactory.com/calendar/67-ca-employment-change,0e514763-f37b-4b12-b09b-9334be5b88a0,,,
Unemployment Rate,CAD,2026/06/05,12:30pm,High,https://www.forexfactory.com/calendar/57-ca-unemployment-rate,c7d9dad8-6b77-4793-9a25-2111f8c788dc,,,
Average Hourly Earnings m/m,USD,2026/06/05,12:30pm,High,https://www.forexfactory.com/calendar/159-us-average-hourly-earnings-mm,cfd297be-ff46-443f-a12e-ab40de8886a0,,,
Non-Farm Employment Change,USD,2026/06/05,12:30pm,High,https://www.forexfactory.com/calendar/66-us-non-farm-employment-change,d2ef2758-873e-44a5-8e8f-a5c97beebb1b,,,
Unemployment Rate,USD,2026/06/05,12:30pm,High,https://www.forexfactory.com/calendar/56-us-unemployment-rate,26546e58-6177-41ee-b894-e65b74596c19,,,
MPC Member Dhingra Speaks,GBP,2026/06/05,1:40pm,Low,https://www.forexfactory.com/calendar/875-uk-mpc-member-dhingra-speaks,c5d959de-11d2-429e-b8e0-3733d2abbe97,,,
Ivey PMI,CAD,2026/06/05,2:00pm,Medium,https://www.forexfactory.com/calendar/254-ca-ivey-pmi,0559e339-beb8-4e57-96a9-4801f48b1377,,,
BOE Gov Bailey Speaks,GBP,2026/06/05,6:00pm,Medium,https://www.forexfactory.com/calendar/838-uk-boe-gov-bailey-speaks,ca0b3bea-50b0-4fcb-812e-5decaf4aa77c,,,
Consumer Credit m/m,USD,2026/06/05,7:00pm,Low,https://www.forexfactory.com/calendar/341-us-consumer-credit-mm,ef0ae758-84cc-4c58-a8e5-9804be12d298,,,
FOMC Member Barr Speaks,USD,2026/06/06,4:00pm,Low,https://www.forexfactory.com/calendar/880-us-fomc-member-barr-speaks,f2cffa24-24e0-45e9-b4b2-9bad79e10f62,,,
OPEC-JMMC Meetings,All,2026/06/07,9:15am,Medium,https://www.forexfactory.com/calendar/798-opec-jmmc-meetings,03b682e4-8d5a-4f54-91ec-388c3e90733c,,,
OPEC Meetings,All,2026/06/07,10:15am,Medium,https://www.forexfactory.com/calendar/437-opec-meetings,e75e94d3-4792-4d53-93e6-614b1fd4378d,,,
Bank Holiday,AUD,2026/06/07,9:00pm,Holiday,https://www.forexfactory.com/calendar/394-au-bank-holiday,79f034d0-c654-4143-a290-c2f4cfd6c93d,,,
Bank Lending y/y,JPY,2026/06/07,11:50pm,Low,https://www.forexfactory.com/calendar/388-jn-bank-lending-yy,9b016cc9-a3a2-4e9d-ba44-cd6a83e4bc93,,,
Current Account,JPY,2026/06/07,11:50pm,Low,https://www.forexfactory.com/calendar/217-jn-current-account,c21e5167-2dbb-4176-8c34-03d4121b7356,,,
Final GDP Price Index y/y,JPY,2026/06/08,12:03am,Low,https://www.forexfactory.com/calendar/44-jn-final-gdp-price-index-yy,6321adea-2779-445e-9f5a-7e2c0128b409,,,
Final GDP q/q,JPY,2026/06/08,12:03am,Low,https://www.forexfactory.com/calendar/37-jn-final-gdp-qq,fb8c6bf9-058b-4d31-a004-6c3bbad4bdc0,,,
Economy Watchers Sentiment,JPY,2026/06/08,5:00am,Low,https://www.forexfactory.com/calendar/324-jn-economy-watchers-sentiment,f8b3ecd9-f7f3-4c65-800f-452543421dc0,,,
German Factory Orders m/m,EUR,2026/06/08,6:00am,Low,https://www.forexfactory.com/calendar/352-ge-factory-orders-mm,188432b4-0dd7-45c8-a74a-0b5f270f6ade,,,
SECO Consumer Climate,CHF,2026/06/08,7:00am,Low,https://www.forexfactory.com/calendar/337-sz-seco-consumer-climate,7c1f14f1-0a0b-4549-9693-c6861e3de34e,,,
Sentix Investor Confidence,EUR,2026/06/08,8:30am,Low,https://www.forexfactory.com/calendar/320-ez-sentix-investor-confidence,b07e2a5c-a4f4-4df8-9100-f1bfe5f64d0c,,,
Manufacturing Sales q/q,NZD,2026/06/08,10:45pm,Low,https://www.forexfactory.com/calendar/161-nz-manufacturing-sales-qq,0940d968-32fb-4346-8cdf-450761961716,,,
BRC Retail Sales Monitor y/y,GBP,2026/06/08,11:01pm,Low,https://www.forexfactory.com/calendar/114-uk-brc-retail-sales-monitor-yy,6b6db8eb-bf29-45f1-9c47-b765ec6f0feb,,,
M2 Money Stock y/y,JPY,2026/06/08,11:50pm,Low,https://www.forexfactory.com/calendar/376-jn-m2-money-stock-yy,aba3ea3a-a558-41ed-9fac-db67a7e77587,,,
Westpac Consumer Sentiment,AUD,2026/06/09,12:30am,Low,https://www.forexfactory.com/calendar/338-au-westpac-consumer-sentiment,6112cae0-b265-435d-a8c2-955b8dfc1491,,,
NAB Business Confidence,AUD,2026/06/09,1:30am,Low,https://www.forexfactory.com/calendar/323-au-nab-business-confidence,f7bc06d8-f711-433b-87e5-ed7a55b29e26,,,
Trade Balance,CNY,2026/06/09,2:03am,Low,https://www.forexfactory.com/calendar/630-ch-trade-balance,5a4896bd-147f-4547-8ced-cc9e78a13785,,,
USD-Denominated Trade Balance,CNY,2026/06/09,2:04am,Low,https://www.forexfactory.com/calendar/450-ch-usd-denominated-trade-balance,c64b98a5-9c2e-49e6-ae94-b43ac1b9d7a6,,,
German Industrial Production m/m,EUR,2026/06/09,6:00am,Low,https://www.forexfactory.com/calendar/221-ge-industrial-production-mm,5831150a-eb39-493e-9ab8-cf64a49e2e89,,,
German Trade Balance,EUR,2026/06/09,6:00am,Low,https://www.forexfactory.com/calendar/125-ge-trade-balance,ca622f15-c93e-43fe-b7da-f891600cdd3b,,,
Prelim Machine Tool Orders y/y,JPY,2026/06/09,6:00am,Low,https://www.forexfactory.com/calendar/321-jn-prelim-machine-tool-orders-yy,7c531160-5565-49f6-9f84-33b89b431da2,,,
NFIB Small Business Index,USD,2026/06/09,10:00am,Low,https://www.forexfactory.com/calendar/570-us-nfib-small-business-index,0ea97d98-5cf1-4560-98c9-42c514f0e0a4,,,
ADP Weekly Employment Change,USD,2026/06/09,12:15pm,Low,https://www.forexfactory.com/calendar/929-us-adp-weekly-employment-change,8e5f86d5-8110-43c3-8b28-532082e058c6,,,
Trade Balance,CAD,2026/06/09,12:30pm,Low,https://www.forexfactory.com/calendar/118-ca-trade-balance,7f13a59f-35bb-4c5b-aa71-fdc1aaeef95d,,,
Trade Balance,USD,2026/06/09,12:30pm,Low,https://www.forexfactory.com/calendar/117-us-trade-balance,43108747-5572-4d3f-8421-278ee0472282,,,
Existing Home Sales,USD,2026/06/09,2:00pm,Low,https://www.forexfactory.com/calendar/232-us-existing-home-sales,8b1e86fc-1b07-41f8-bba1-8f52f490e2a8,,,
Final Wholesale Inventories m/m,USD,2026/06/09,2:00pm,Low,https://www.forexfactory.com/calendar/154-us-final-wholesale-inventories-mm,faadeccf-2b90-4be0-8408-eeee42fa2315,,,
API Weekly Statistical Bulletin,USD,2026/06/09,8:30pm,Low,https://www.forexfactory.com/calendar/754-us-api-weekly-statistical-bulletin,fa65ad54-025b-4869-906b-00bb427d20d2,,,
PPI y/y,JPY,2026/06/09,11:50pm,Low,https://www.forexfactory.com/calendar/148-jn-ppi-yy,5e9e8391-4dda-4846-8596-3d2724432d91,,,
CPI y/y,CNY,2026/06/10,1:30am,Low,https://www.forexfactory.com/calendar/454-ch-cpi-yy,3c787a73-7e10-408a-99cc-d5eb63ed20fb,,,
PPI y/y,CNY,2026/06/10,1:30am,Low,https://www.forexfactory.com/calendar/455-ch-ppi-yy,f75b506b-25dc-4e1a-97f8-da8abc232f20,,,
